,title,image,price,description
0,"Хъни Буш лист, Cyclopia Intermedia",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/9/498honey-bush.jpg,"3,43 лв.","Хъни Буш, познат още като Меден храст, е изключително рядко растение, срещащо се само в планинските части на Източен Кейп (ЮАР). Принадлежи към семейството на Ройбос. Има изключително приятен аромат и естествено сладък вкус."
1,"Жълт кантарион цвят и лист – отлично качество, Hypericum perforatum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/7/277-kantar-j-ronen2.jpg,"2,08 лв.","Природата е безкрайно щедра към нас, дарявайки ни огромно разнообразие от лековити билки. Такава е Жълтият кантарион - вълшебната ""слънчева"" билка! Естествен антидепресант."
2,"Кардамон цял плод, Elettaria cardamomum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/282kardam-all.jpg,"6,55 лв.","Уникална индийска подправка, с която можете да придадете нов и интересен вкус на ястията си. Кардамонът, освен в кулинарията, се откроява и със своите полезни лечебни свойства. Има газогонно и антисептично действие, повишава апетита. Кардамонът има тонизиращо организма действие."
3,"Карамфил плод цял, Syzygium aromaticum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/280karamf-all.jpg,"3,60 лв.","Като кулинарна подправка, карамфилът добавя екзотична нотка към всяко ястие. Има антисептично и болкоуспокояващо действие. Повишава апетита. Освежава дъха и има противовъзпалителен ефект в устната кухина."
4,"Майорана лист, Origanum majorana",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/5/354maiorana-list.jpg,"1,60 лв.","Макар и подобен на риган, Майораната има по-мек вкус и често се използва за гарниране на салати, супи и месни ястия. Подходяща е за овкусяване и на зеленчукови ястия, пици, лазаня и паста. Има силен и приятен аромат, когато е изсушена, но може да се използва и прясна. Освен като подправка, Майораната може да се използва и с лечебна цел под формата на чай, тинктури или етерични масла."
5,"Кардамон плод на прах, Elettaria cardamomum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/281kardam-pwd.jpg,"5,47 лв.","Уникална индийска подправка, с която можете да придадете нов и интересен вкус на ястията си. Кардамонът, освен в кулинарията, се откроява и със своите полезни лечебни свойства. Има газогонно и антисептично действие, повишава апетита. Кардамонът има тонизиращо организма действие."
6,"Чубрица балканска стрък с цвят, Satureja montana, насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/1/519chubriza-balkan.jpg,"1,94 лв.","Чубрицата е много ароматна подправка с характерен вкус и е една от най-предпочитаните в традиционната българска кухня. Използва се основно за ястия с бобови култури като боб, леща, грах, както и зеленчукови яхнии и супи. Освен като подправка, чубрицата може да се използва и като билка за полезен ароматен чай."
7,"Сминдух цяло семе – Чимен, метхи, за кърма и кости, Trigonella foenum-graecum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/7/471sminduh-seme.jpg,"1,51 лв.","Сминдухът принадлежи към семейство Fabaceae и обикновено се използва като подправка. Семената и зелените листа на сминдуха имат силен аромат и се използват както в кулинарията, така и в медицината."
8,"Бял равнец стрък с цвят, Achillea millefolium L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/y/byal-ravnecb432conf.jpg,"1,96 лв.","Белият равнец е една от най-невероятните и впечатляващи със своите лечебни качества билки, които природата ни е дарила. За медицински цели обикновено се използва цъфтящата част на растението. При кръвотечения от матката, венците, носа, стомаха, хемороиди."
9,"Джинджифил корен на прах, Zingiber, 100g 500g 1kg",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/217ginger-pwd.jpg,"1,70 лв.","Джинджифилът се използва в готвенето и медицината още от древността. То е една от първите ориенталски подправки, внесени в Европа, като днес заема основно място в редица рецепти. Джинджифилът е мощен антиоксидант. Има противовъзпалителни, антибактериални и антивирусни свойства. Джинджифил може помогне за облекчаване на гадене и повръщане."
